title,location,points,comments,img_link,visitor,say
雍和宫,北京市东城区雍和宫大街12号,4.7,(1896条点评),https://dimg04.c-ctrip.com/images/100o0b0000005z27w2021_C_220_140.jpg,M27****0913,京状元王老师的讲解太棒了，对于历史典故和藏传佛教的了解讲述及文化的传播都做的非常的到位，了解到了许多礼佛敬香的知识，非常值得的一次旅行
国家自然博物馆,东城区天桥南大街126号,4.6,(1171条点评),https://dimg04.c-ctrip.com/images/0100a120008c2joa7AFF8_C_220_140.jpg,西单大叔,最熟悉的“新”博物馆——“国家自然博物馆”初体验 自然博物馆是从小逛得最多的一个博物馆了，因为生活、上学都在南城，离自然博物馆不远，所以就常来逛，其实多数是学校组织，记得上小学、上初中，学校组织的一半活动都是自然博物馆吧，离学校近、地方够大、还涨知识，省心又有意义，何乐而不为呢？后来有孩子了，也爱带孩子来，有这么多各种各样的动植物标本，尤其是巨型的恐龙骨架化石、大象骨架化石，纪念品商店里还有好多动物玩具，小孩子哪能不爱？所以之前对自然博物馆的印象就是无比熟悉、有很多童年/青春回忆、适合平常遛娃，那会儿这里还叫“北京自然博物馆”呢。然后孩子长大了，又赶上持续疫情，也就连续几年没再来逛过。没想到，疫情之后博物馆参观重新恢复正常，却异常火爆起来，成了“最难约的博物馆”，还升格成了“国家自然博物馆”，这样一来那我就得专程再来看看这家“最熟悉”的“新”博物馆了。 自然博物馆在北京中轴路东侧，永定门到正阳门之间，也就是著名的“天桥”旁。说到“天桥”，以前是真的有一座石拱桥的，因为皇帝从故宫出来南行去天坛、先农坛举行祭祀仪必由此处经过，所以被称为“天子之桥”，这就是“天桥”名号的由来，后来光绪年间整修马路、民国时修有轨电车道，天桥逐步消失，如今在原处复建了一座石拱桥，就在自然博物馆前中轴路上向北一二百米的地方，桥南侧还有乾隆御笔的碑。今天早上到得早，博物馆还没开门，我就先去天桥边坐了坐，现在是街心公园了。 都说自然博物馆难约，其实也不难，毕竟每天有5200张散客票，提前两天的11点开放预约，只要11点准时去预约，基本都能约上，这哪能有“燕京八绝博物馆”难约，人家每天就几十张票，那才是真正难约。九点钟准时进馆，刷身份证很方便，人多但好在博物馆很大，进去就显不出拥挤了。博物馆建筑面积有2.3万平米，展厅有三层，负一层是个“恐龙公园”，里面是个恐龙时代的布景，都是一些会动的恐龙，很吸引小朋友；一层、二层是基本陈列展厅，主要展示古代动物、古代植物、人类起源、神奇非洲等等主题，馆藏37万件展品，内容非常丰富，有很多珍惜的标本让人大开眼界；三层是4D影院，这里是不能提前预约的，只能现场买票，如果要看的话建议赶早入场，然后一进馆先去一楼大厅买票，不然就很难买到了。
北京海洋馆,北京市海淀区高粱桥斜街乙18号,4.4,(5316条点评),https://dimg04.c-ctrip.com/images/100f1f000001gq9cx0533_C_220_140.jpg,白猫警长4851,海洋馆是北京众多海洋馆中最丰富多彩的一个。里面很大，可参观的种类很多，好好逛的话，逛一天都逛不完，我们主要看了一个表演，等了大概半个小时才开场，好在节目很精彩，大家都很热情。看到了海洋动物的精彩表演还是小丑带动气氛，值回票价。
北京欢乐谷,北京市朝阳区东四环小武基北路(欢乐谷景区地铁站B东北口步行170米),4.7,(15394条点评),https://dimg04.c-ctrip.com/images/10091f000001gsov1E90E_C_220_140.jpg,白猫警长,游乐设施新鲜多样，排队时间短，园区内有制冷器，吃喝玩乐一应俱全，主推过山车，七大过山车专治各种小孩，最后再来个激流勇进清爽一夏!一天全部刷完所有项目，有的还能二刷，老刺激啦!
国家大剧院,北京市西城区西长安街2号,4.7,(1754条点评),https://dimg04.c-ctrip.com/images/100i13000000uzfjt5D15_C_220_140.jpg,Tenacity,打卡国家大剧院，体验感受建筑之美，感受艺术气息，夏天避暑纳凉的绝佳之地！一楼还有免费的音乐演出，不论视觉还是听觉，都是一种享受！
中国地质博物馆,西城区西四羊肉胡同15号,4.7,(2473条点评),https://dimg04.c-ctrip.com/images/0101i120008icj0wb9250_C_220_140.jpg,骄心,中国地质博物馆是中国乃至全球最重要的地质学研究和展示机构之一，以下是我的评价：首先，中国地质博物馆的馆藏丰富多样。馆内收藏了大量的化石、矿石、岩石和宝石等地质标本，展示了地球演化的各个阶段和地质现象的多样性。无论是古生物化石还是现代地质构造，都能找到丰富的展品，让人对地质学有了更深入的了解。其次，博物馆的展览布置精美，内容丰富。展览以图文并茂的方式呈现，结合多媒体技术和互动展示，使观众能够更好地理解和感受地质学的奥妙。同时，博物馆还定期举办各类专题展览和学术讲座，为地质学爱好者提供了一个学习和交流的平台。另外，博物馆的服务也非常周到。工作人员热情友好，能够及时解答观众的问题和提供帮助。同时，博物馆还提供了导览服务和讲解器设备，方便观众自由参观和听取解说。总的来说，中国地质博物馆是一个值得一游的地方。它不仅拥有丰富的馆藏和精美的展览，还提供了优质的服务。对于对地质学感兴趣的人来说，这是一个难得的学习和欣赏的机会。
北京天文馆,西城区西直门外大街138号（动物园对面）,4.5,(994条点评),https://dimg04.c-ctrip.com/images/1A0r1c000001cdmez1EDA_C_220_140.jpg,白猫警长4851,交通很方便，地铁、公交都有，除了AB馆，还有比较大一个院子，休息、吃东西都很方便。馆里展品有月壤哎，当初美国都不舍得给我们的月壤哎，而且3D影院也播放了跟登月相关的内容。看了之后我才明白嫦娥几号几号分别是干嘛的，而且也不是一发射就到月球轨道，真的好涨知识，强推!也让我们能了解祖国航天事业的发展。馆里有盖章活动，而且是拼图形式，有一个章在出口的商店，就是这个找半天找不着，结果跑来跑去的过程中丢失了几张盖章的卡。最后请教了一位小朋友才找到。举止大方，说话响亮，赞一个!我不得不说，捡了这些卡又不还回服务台的人，这是一套拼图，你捡那么两张有什么意义呢?现在拾金不昧四个字是没人写了吗.……何况这只是几张普通的纸……小朋友来回几趟服务台问，还问了清洁的阿姨，确认找不到了，有点失望，我教他们盖在其他卡的空白位置上，也能好好欣赏。毕竟打卡享受更多的是这个过程嘛
南锣鼓巷,北京市东城区南锣鼓巷胡同,4.5,(3220条点评),https://dimg04.c-ctrip.com/images/100g1f000001gqxbtA231_C_220_140.jpg,Dan Dan dan先生,南锣鼓巷位于北京市东城区，古老而古朴。南锣鼓巷有着非常多的店铺，饭店，都很有老北京的味道，这里有着几百年的历史，厚重而美丽。
北海公园,北京市西城区文津街1号,4.7,(3835条点评),https://dimg04.c-ctrip.com/images/100m0z000000nndr64E9A_C_220_140.jpg,shao-xiang,特别感谢导游（手机号***********）一路上讲解的精彩有趣。让我们体会到了有导游的游览和自由游览的巨大不同。北京的历史公园还是要有导游的游览更精彩！极力推荐！
香山公园,北京市海淀区买卖街40号,4.7,(5200条点评),https://dimg04.c-ctrip.com/images/100p0x000000lbj269BDC_C_220_140.jpg,冰咖啡彩虹糖,香山公园位于北京市海淀区买卖街40号，北京市区西北郊，占地188公顷，是一座具有山林特色的皇家园林。景区内主峰香炉峰俗称“鬼见愁”，海拔575米。早在元、明、清时，皇家就在香山营建离宫别院，每逢夏秋时节皇帝都要到此狩猎纳凉。咸丰十年（1860年）和光绪二十六年（1900年）先后两次被英法联军、八国联军焚毁，1956年开辟为人民公园。香山公园有香山寺、洪光寺、双清别墅等著名旅游景点。“香山”的得名，历史文献中有两种说法。其中第一种说法来自于民间，据说早年间香山上曾栽种有大面积的杏花，每年花期一到，这里便花香浓郁，故而得名。其二则是来自《香山永安寺记》，这里面讲到山中有一块大石头，其形状和寺庙里烧香的香炉很像，因此这座山便因香炉形状的石头而得名。
水立方(国家游泳中心),北京市朝阳区天辰东路11号,4.5,(1603条点评),https://dimg04.c-ctrip.com/images/fd/tg/g1/M05/7A/74/CghzfVWwtD2AKrJiAAq29dgqJDw690_C_220_140.jpg,郭润龙浪迹天涯,20230522全天：1、“水立方”位于5A景区“奥林匹克公园”。奥林匹克公园是2008年奥运会和残奥会、2022年冬奥会的比赛区域，是世界首个“双奥园区”，位于北京中轴线北侧，集休闲健身、绿地养生、体育文化、赛事演出于一体的多功能景区，多次举办过国际重要会议。景区分奥运功能区和森林公园2大区域。入园免费，场馆内部收费，周一闭馆。①地址：北京市朝阳区科荟路33号。②交通：公交直达，开车很好停。③旺季：无。④用时：1天。2、奥运功能区呈长方形，面积广阔的广场上遍布各种雕塑，其中2022年冬奥会火炬台上的雪花雕塑是必打卡的主雕塑。东北角人工湖岸边的商铺是夜间聚餐好去处，浪漫有情调，马路边各色牡丹绽放，雍容华贵。游客可进内部参观的建筑有国家体育场（“鸟巢”）、国家游泳中心（“水立方”）、国家速滑馆（“冰丝带”）、“奥运塔”，前3个场馆买三馆联票会便宜些。3、水立方位于中轴线由西南侧，是2008年奥运会游泳等项目的比赛场馆，外形是膜结构蓝色方盒子，是海外侨胞和港澳台同胞捐款数量和人数最多的场馆，2020年改造成冰壶项目场馆，变身为冬奥历史上最大的冰壶场馆“冰立方”。馆内仍保留去年冬奥的装饰布置，目前只开放一层和负一，有：①嬉水乐园：在负一层，一楼可俯观，两侧是大型水中游乐设施，中间是模拟海浪嬉水池，舞台上可举办水上嘉年华、音乐节等，时尚元素满满，很适合亲子。②游泳池：在负一层，对外开放，一楼可俯观。③冰壶项目介绍：以图文、体育器械形式展示，另有中国女子水球国家队队员的手模。③趣味布景：魔法相机、各种玩偶等。
居庸关长城,北京市昌平区南口镇居庸关村,4.8,(2292条点评),https://dimg04.c-ctrip.com/images/0102a120004fhqcagB7E5_C_220_140.jpg,西山晴雪1011,真是不错的地方，好几年没来过这里了，居庸关长城还是非常著名的地方非常壮观，城楼两侧的长城都是非常陡峭的，好在身体还是可以
北京汽车博物馆,北京市丰台区南四环西路126号,4.7,(5160条点评),https://dimg04.c-ctrip.com/images/1A0o190000015tvg1ABA7_C_220_140.jpg,贝德福德鉴真,这个汽博比想象中的大。周围环境很舒服。旁边有酒店商场。里面是汽车的发展史，很值得一看。1楼大厅外还有个货车，站台的老火车。就很适合带小朋友了解相关科学知识。
天安门城楼,东城区东长安街天安门广场北侧,0,(暂无点评),https://dimg04.c-ctrip.com/images/10070h0000008sb4h5CD1_C_220_140.jpg,暂无游客评论,暂无用户评价
前门大街,北京市东城区前门大街,4.6,(1287条点评),https://dimg04.c-ctrip.com/images/1A0n11000000r3v6884C6_C_220_140.jpg,蓝闪电,前门大街大栅栏，离天安门5分钟路程，可以规划在一条路线游玩，而且各种耳熟能详的老字号云集，货品质量保真，特别值得来逛的景点。
世界公园,北京市丰台区花乡丰葆路158号,4.3,(4250条点评),https://dimg04.c-ctrip.com/images/0102h120008lcbg0t3878_C_220_140.jpg,turbo,最为当年的特色景点，目前显得吸引力不足。开拓的副业与主线业务关联性不足。门口电瓶车价格却偏高了。景点结合文化内涵、历史等还有很大的挖掘空间。厕所一半以上都在维修是不应该的。
王府井,北京市东城区东长安街北侧,4.5,(1396条点评),https://dimg04.c-ctrip.com/images/100u1f000001gq8fl5AFF_C_220_140.jpg,老少皆宜程,王府井大街是北京最著名的商业街，几十年前这里如果说是北京第二繁华的商业街，就没有人敢说是第一。王府井大街的夏天徬晚是最繁华的，游客很多。
北京大观园,西城区南菜园街12号,4.6,(2124条点评),https://dimg04.c-ctrip.com/images/100e1f000001gt103FEE1_C_220_140.jpg,旅行达人萧萧,【景色】四季风景不同【趣味】喜欢红楼的人比较钟情，房舍庭院布景，讲解介绍全方位展现红楼情景【性价比】40元门票小贵，老年人免票，适合周边老年人遛弯
大栅栏,西城区前门大街大栅栏街6号,4.6,(737条点评),https://dimg04.c-ctrip.com/images/1A0c15000000xte0j028E_C_220_140.jpg,关裕年guanyunian,位于北京前门大街的大栅栏是北京过去最热闹的地方，可以说前门大栅栏与北京齐名，如今的大栅栏已经不是老北京的大栅栏，这里已经变成外地人来打卡的旅游点。
故宫珍宝馆,故宫博物院宁寿宫内,4.8,(483条点评),https://dimg04.c-ctrip.com/images/100f0b0000005z1rsE5D1_C_220_140.jpg,_WeCh****105838,秀才说的王秀才非常的专业，风趣幽默，很容易就根据他的解说投入进去了，故宫的宏伟壮观和文化底蕴被他结合的很相宜，非常好的游玩体验！
毛主席纪念堂,东城区前门东大街11号,0,(暂无点评),https://dimg04.c-ctrip.com/images/100t12000000rqu9a4275_C_220_140.jpg,暂无游客评论,暂无用户评价
北京杜莎夫人蜡像馆,北京市东城区前门大街18号,4.7,(3194条点评),https://dimg04.c-ctrip.com/images/1lo3h12000bnn25jz2730_C_220_140.jpg,匿名用户,蜡像馆人物很生动，上下三层，见到了很多喜欢的公众人物，留下了难得的合影，还有趣味动手体验项目，整体逛下来一点儿也不累，小朋友很喜欢
八达岭野生动物世界,北京市延庆区八达岭镇八达岭旅游区,4.1,(4702条点评),https://dimg04.c-ctrip.com/images/100e1f000001gt1p9F58F_C_220_140.jpg,快乐的小飞哥啊,北京八达岭野生动物世界是中国大的山地野生动物园。位于八达岭长城脚下，紧邻八达岭高速公路，占地6000亩，拥抱百余种近万头（只）野生动物，是集动物观赏、救助繁育、休闲度假、科普教育、公益环城为一体的生态旅游公园。
孔庙和国子监博物馆,北京市东城区安定门内国子监街15号,4.7,(760条点评),https://dimg04.c-ctrip.com/images/0105112000b8ch8kn7B12_C_220_140.jpg,赵宇,非常不错的博物馆！环境优美，历史悠久，元明清三朝学子的圣地，绝对值得一去，尤其有娃的家庭，现在越来越觉得没有讲解的景点游是没有灵魂的，郭老师自配图册，讲解时方便大家理解，孩子们跟着她，有时站在树荫下，有时席地而坐，用时两个半小时了解了孔子的一生，科举制度的兴衰，真是受益匪浅！
老舍茶馆,北京市西城区前门西大街正阳市场3号楼,4.6,(904条点评),https://dimg04.c-ctrip.com/images/100i0a0000004t9e6558A_C_220_140.jpg,M28****6741,三楼看完综艺四季茶小朋友还不肯离场，紧接着看二楼的木偶剧，武松打虎惟妙惟肖，被木偶变脸惊艳到，感受国粹魅力，传承传统文化。
德云社剧场,北京市西城区北纬路甲1号,4.6,(151条点评),https://dimg04.c-ctrip.com/images/0104r120009heerwjC45C_C_220_140.jpg,suofei8520,天桥德云社，在一个胡同里，这个一个上下两层的大厅。比较古朴的方桌，可以点一壶茶，吃点瓜子，但是最不好的就是没有空调，夏天很热
北京独角兽星空艺术馆,北京市东城区王府井大街88号银泰in88二层,3.9,(462条点评),https://dimg04.c-ctrip.com/images/100l1f000001gqf46971C_C_220_140.jpg,匿名用户,各种灯和镜子呈现的效果 拍照还是很好看的 不过比想象中的要小很多 很快就转完了 最后有个大月亮拍剪影 适合至少2人一起去
南山滑雪场,北京市密云区河南寨镇圣水头村,4.7,(1730条点评),https://dimg04.c-ctrip.com/images/100f0z000000numfi420C_C_220_140.jpg,匿名用户,停车很方便，用餐也很方便很丰富，价格适中滑雪服里面最好外穿一点保暖的衣服，厚袜子价格实惠公道，雪道也很丰富比较满意的一次体验
首都博物馆,北京市西城区复兴门外大街16号,4.8,(859条点评),https://dimg04.c-ctrip.com/images/100m1f000001gzoylC02F_C_220_140.jpg,白猫警长4851,首都博物馆，就在长安街旁边，交通十分方便。现在1楼西侧是辉煌中轴线展览北京建都870年。但是西侧楼上几层现在都没有开放，还在装修换展之中。东侧开放，有一些玉器，青铜器，还有相片的展览。展馆有打卡盖章活动，很受小朋友喜欢。
黄花城水长城,北京市怀柔区九渡河镇西水峪,4.7,(3435条点评),https://dimg04.c-ctrip.com/images/0102d1200086o1vwnDDE7_C_220_140.jpg,M41****167,黄花城水长城很漂亮，黄花城水长城很漂亮，黄花城水长城很漂亮。黄花城水长城很漂亮。黄花城水长城很漂亮。黄花城水长城很漂亮。
慕田峪长城索道滑道,北京市怀柔区渤海镇慕田峪村,4.7,(117条点评),https://dimg04.c-ctrip.com/images/0105712000c9n6wm885E9_C_220_140.jpg,冰美式比热美式好喝,很好玩 索道风景很好 滑车很刺激 慕田峪长城yyds 人比八达岭少多了而且爬起来也不是特别累 我去的那天人比平时多因为是秋天的旺季 索道排队30分钟 滑车排队40分钟 但很值得
中央广播电视塔,海淀区西三环中路11号,4.5,(1559条点评),https://dimg04.c-ctrip.com/images/100e1f000001gt1z96C8F_C_220_140.jpg,M44****9024,北京最高的电视塔，在这里是观赏北京最好的地方。上面还有旋转餐厅，一边吃饭一边观赏夜景，很适合情侣到这个地方来约会，真的很惬意。
798艺术区,北京市朝阳区酒仙桥路2号,4.5,(900条点评),https://dimg04.c-ctrip.com/images/100g1f000001gqzfv7659_C_220_140.jpg,白猫警长4851,北京798艺术中心是一个充满艺术氛围的地方。尽管有些馆未开门，但进入的馆展示的作品都非常有意思。这里呈现了各种不同的艺术形式，如绘画、雕塑、摄影等，让人可以欣赏到多元化的艺术作品。然而，可能有时候参观会感到有些无聊，可能因为个人对某些艺术形式不太感兴趣。不过，这并不妨碍整体艺术中心本身的价值和吸引力。如果你对艺术感兴趣，喜欢探索不同的艺术表现形式，那么北京798艺术中心仍然是个值得一游的地方。
三里屯,北京市朝阳区三里屯北路东侧,4.7,(559条点评),https://dimg04.c-ctrip.com/images/0106o120008632x65D55A_C_220_140.jpg,阿蓝阿蓝,在北京，三里屯的太古里是年轻人爱去的地方，这里高楼林立，许多小众品牌聚集，是一个年轻而时尚的地方，吸引着许多时尚青年去逛。
雁栖湖,怀柔区怀北镇雁水路3号,4.4,(3155条点评),https://dimg04.c-ctrip.com/images/10021f000001gxcft163D_C_220_140.jpg,Ren Yang,雁栖湖位于北京市怀柔区，是一个风光旖旎、水质清澈的美丽湖泊。这里因春秋两季有大批大雁来湖中栖息而得名，每年都吸引着无数游客前来观赏。雁栖湖的湖面宽阔，湖水清澈见底，周围的山峦环抱，形成了一个天然的美丽景区。在这里，你可以乘坐游船欣赏湖光山色，也可以漫步在湖边，感受宁静与和谐。此外，雁栖湖还拥有各种游玩设施，如漂流、划船、垂钓等，让你尽情享受度假的乐趣。除了美丽的自然风光，雁栖湖还有许多值得一游的景点。例如，雁栖岛会议中心是一个设施齐全的会议中心，也是举办各种活动和婚礼的理想场所。北京日出东方凯宾斯基酒店则是一座充满现代化气息的酒店，提供舒适的住宿和美食服务。总的来说，雁栖湖是一个集自然风光、休闲娱乐和人文景观于一体的美丽景区。无论你是来放松身心还是寻找刺激的旅游体验，这里都能满足你的需求。如果你想感受北京郊区的宁静与美丽，雁栖湖绝对是一个不容错过的好去处。
潭柘寺,门头沟区潭柘寺镇,4.7,(1221条点评),https://dimg04.c-ctrip.com/images/100b1f000001gsoq40D7B_C_220_140.jpg,3soil,潭柘寺是北京最古老的寺庙，里面有年代很久的银杏树。里面的建筑也很好看，还有一个地方可以摸鱼，很有意思。前前后后花了两三个小时游览，非常值得一去。
太平洋海底世界,海淀区西三环中路11号中央广播电视塔下,4.4,(1746条点评),https://dimg04.c-ctrip.com/images/0105612000aufbjs64C20_C_220_140.jpg,澎湖景园,太平洋海底世界在中央电视台地下一层，交通挺方便，有海狮表演（另收费） 美人鱼表演 ，有很多观赏鱼和热带鱼，各类珊瑚。在这里孩子可以感受到海底世界的神奇。
水立方嬉水乐园,北京市朝阳区天辰东路11号国家游泳中心1层,4.5,(2224条点评),https://dimg04.c-ctrip.com/images/100a1f000001grjxc89CD_C_220_140.jpg,Henriguan,环境很好，适合带孩子一起游玩。尤其是海浪活动很有趣，一起享受海浪的效果。有很多滑梯，有很多娱乐活动，有各种各样的高度，适合不同人群。
西山温泉乐园,北京市海淀区西北旺镇丰智东路13号（永丰路与北清路十字路口往南800米路东）,4.7,(1416条点评),https://dimg04.c-ctrip.com/images/1lo3912000cvxck5pA4B4_C_220_140.jpg,BIG米,北京西山温泉♨️主打一个18小时玩不够啊，不论大朋友🧑‍🤝‍🧑还是小朋友🧒全部玩嗨，太上头了哈哈哈，圣诞节主题活动已开启，[礼花]快来happy哈哈玩耍一下推荐指数：🌟🌟🌟🌟🌟娱乐设施：🌟🌟🌟🌟🌟丰富餐食：🌟🌟🌟🌟🌟✔️一层室内外温泉区🍭藏药区太美了吧，深得我心，还有女士暖宫🚺专属泡池，在里面躺着，敷一个中药🌿包，肩颈太舒服了😌喝着红糖姜茶美呆了🍭室外温泉♨️北京下雪了❄️，飘着雪花泡室外温泉，太浪漫了，💏，北京去哪找，就来北京西山温泉，温暖你的心肝脾肺肾🍭室内温泉、儿童戏水区室内多种泡池，满足你的一切需求，美人池、还有专业游泳池🏊，柚子池，去死皮小鱼池，按摩池，都是37度至40度左右，完全💯满意🈵️✔️二层魔力空间进入即可拥有2500平方米娱乐空间，现在定时🈶️圣诞荧光派对、圣诞游园会、圣诞节小手工、音乐年代秀，狂欢派对大小朋友都开心极了，魔力SHOW✌🏻各种脸部化妆太美了‼️糖果会可以不限时的儿童托管，大人就可以放心玩耍了哈哈哈✔️围炉煮茶地下1⃣️层还有围炉煮茶，换装各式汉服，樱花🌸树下，美滋滋，还有各种游戏机、格子间可以各种舒服的躺着刷手机哈哈哈✔️5⃣️层鹦鹉乐园门口一个大鹦鹉超级威武帅气，各种游戏机🎮、篮球机🏀、射击等等，西山温泉对小朋友超级友好，当然，小朋友来了完全不想回家哈哈哈✔️四季餐厅我们选择的🈶️早餐🍳、午餐/晚餐任选一顿，夜宵这种，非常划算，生蚝🦪不限量是现在的季节限定，现蒸生蚝非常的新鲜，大厨🧑‍🍳会帮忙撬开壳，完全不用担心吃起来费劲哈哈哈，真贴心！对于我朋友这个三文鱼脑袋，去了三次取了三大盘，完全💯吃过瘾🧧北京西山温泉乐园📍北京市海淀区丰智东路13号
中山公园,东城区中华路4号(天安门西侧),4.7,(731条点评),https://dimg04.c-ctrip.com/images/1A0r190000016k56gAA44_C_220_140.jpg,sh****8,北京中山公园的社稷坛与太庙相对，分别位于天安门的一左一右，体现了“左祖右社”的帝王都城设计原则。以五色土建成的社稷坛包含着古代人对土地的崇拜，五种颜色的土壤，由全国各地纳贡交来，以表明“普天之下，莫非王土”之意。社稷坛是古代帝王江山社稷的象征。五色土是指青、红、黄、白、黑五种颜色纯天然土壤。
红螺寺,北京市怀柔区怀柔镇卢庄村北红螺东路2号,4.8,(2316条点评),https://dimg04.c-ctrip.com/images/1lo4i12000d2lmqtkDC4D_C_220_140.jpg,  快乐de蒲公英,红螺寺景区非常不错，大气的门楼威严庄重，寺内绿树成荫，环境优雅宁静，尤其两颗千年银杏树，金灿灿的树叶特别的美，还有免费的香供游客使用，很值得一游
北京宋庆龄故居,北京市西城区后海北沿46号,0,(暂无点评),https://dimg04.c-ctrip.com/images/100g0b0000005d8on2C3F_C_220_140.jpg,暂无游客评论,暂无用户评价
八大处公园,北京市石景山区西山风景区南麓八大处公园,4.8,(2561条点评),https://dimg04.c-ctrip.com/images/100b1f000001gsltw7A06_C_220_140.jpg,203****105,来八大处证果寺烧香拜佛，发现一只黑猫警长在此修炼，证果寺边上曲径通幽处还有一个秘魔崖里面供奉着几尊佛像，今天天气很好拍照也很出片！
泡泡玛特城市乐园,北京市朝阳区朝阳公园南路1号40幢（朝阳公园内，近朝阳公园西3门）,4.6,(92条点评),https://dimg04.c-ctrip.com/images/1lo6b12000c491zsf9668_C_220_140.png,M11****984,超级适合带娃来，参加活动有奖品，即便没赢也有几年奖品，适合亲子互动。每人可以买2个娃娃，如果抽的娃娃不喜欢，现场还可以换哟。
