hotel_name,location,points,visitors,picture,comment
One Meter Sunshine Hotel Xi'an Xianyang International Airport Flagship Store,咸阳,6.2,33条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/139660937.jpg?k=c498e15239650d5cc6a279076388abd99a0aefe76865cc2feda3f52286360524&o=,暂无介绍
汉中高铁站亚朵酒店,汉中,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/204581598.jpg?k=9f4165f89555c65a3279a3018dd742145ac4772346f550069331cb27614f9c3d&o=,汉中高铁站亚朵酒店位于汉中，提供带免费WiFi的空调客房。这家住宿配备24小时前台，还为客人提供餐厅。 这家酒店的所有房间均配有电视。 最近的机场是汉中城固机场，距离汉中高铁站亚朵酒店有19公里。
康铂酒店（西安钟楼回民街店）,"碑林区, 西安",8.7,154条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/154728667.jpg?k=4d8f04b29c16f766f9a41edb3b9bec40cb8f579ddaf7fc9d658f8c581d94cf3f&o=,暂无介绍
7天酒店·汉中天汉大道南站店,汉中,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/253428790.jpg?k=d06c6d856333e93bcf08eb7efd594396c6301a69d300353f953dbfa919043a53&o=,7天酒店·汉中天汉大道南站店坐落于汉中，配备带免费WiFi的空调客房。 这家酒店的前台可提供信息，以帮助客人游览该地区。 最近的机场是汉中城固机场，距离7天酒店·汉中天汉大道南站店有23公里。
西安喜来登大酒店,"莲湖区, 西安",7.9,28条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/475153521.jpg?k=14110798301574fb52c4459bfddeec38374dd147771c5d9293472ef5503291df&o=,暂无介绍
西安唐华华邑酒店,"雁塔区, 西安",8.5,30条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/256527936.jpg?k=9c9ba042dcc70107c53dc0133ccce17a0dc27bebcf4d8ead008aa3989359d7f8&o=,西安唐华华邑酒店坐落在曲江新区的心脏地带，提供传统的唐式建筑风格，距离大雁塔、大唐芙蓉园和大唐不夜城仅有5分钟的步行路程。 酒店距离地铁3号线和4号线有不到10分钟的步行路程，距离曲江极地海洋世界有5分钟车程。西安唐华华邑酒店距离西安机场45公里。 酒店共有169间客房，均采用中式典雅设计，依照园林布局方式错落布置，可欣赏大雁塔、慈恩寺、山池院、浮廊、暖廊等不同的景致。...
西安万丽酒店(近大唐不夜城),"雁塔区, 西安",8.8,26条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500321791.jpg?k=ffe36a2b37523411e7f329114ec5816c794acb3017fd3d67f0d024e8e0989357&o=,暂无介绍
榆林榆阳西路亚朵酒店,榆林,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/207528055.jpg?k=e7f859a1326ee01ab46624a6639f5374b26fd21d6daf50382611931535b85c5d&o=,榆林榆阳西路亚朵酒店坐落于榆林，配备健身中心。这家住宿提供的设施包括客房服务、24小时前台以及免费WiFi。住宿配有一间供应中式美食的餐厅，提供免费私人停车位。 这家酒店的客房配备空调和电视。 榆林榆阳西路亚朵酒店每天早晨供应亚洲风味早餐。 最近的机场是榆林榆阳机场，距离这家住宿有19公里。住宿提供付费机场接驳服务。
华山宝莲居国际青年旅舍,"华山, 华阴",9.5,4条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/107436142.jpg?k=09fff36722aa77e54ff38367f3fd6cd40a47417a2a18cfcfd52750aa9143e929&o=,华山宝莲居国际青年旅舍位于华山脚下，设有露台、覆盖各处的免费WiFi和免费停车场。 每间客房或宿舍间均享有古雅装饰风格，提供空调、书桌、电视与私人浴室（配有淋浴、吹风机、拖鞋和24小时热水），部分客房设有休息区。 旅舍提供免费台球设施、共用厨房（可供客人自备餐点）、旅游咨询台（提供实用的旅游信息并安排游览活动）与自行车租赁服务。 旅舍内部餐厅供应地道的当地美食。
7天酒店·渭南解放路火车站店,渭南,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/253429707.jpg?k=20c8e7b7aa7339300b7d8567cac6d5290cf1ddee779708b9520c3ac65d5e41cb&o=,7天酒店·渭南解放路火车站店位于渭南，距离兵马俑有34公里，提供带空调和免费WiFi的客房。这家住宿距离华清池有36公里，距离秦始皇兵马俑博物馆有44公里，距离秦始皇陵有33公里。这家酒店距离西安事变蜡像馆有36公里。 这家酒店的前台可以提供该地区的建议。 7天酒店·渭南解放路火车站店距离扁鹊纪念馆有25公里，距离临潼博物馆有36公里。最近的机场是西安咸阳国际机场，距离这家住宿有83公里。
西安丽思卡尔顿酒店,"雁塔区, 西安",9.4,25条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500547317.jpg?k=d5209257b2b304439f0b8955872f72fd845e366fa1c16b58fb3f5dd86e34a694&o=,暂无介绍
西安北站万枫酒店,"未央区, 西安",8.2,61条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500157151.jpg?k=2a9fb8fdf9ec271b971c34d1d8bcdd37681e274b604486f244c72fd1b8b71b9b&o=,暂无介绍
榆林长城路夫子庙亚朵X酒店,榆林,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/479108314.jpg?k=6c872c938935f2e4bab7be08c05dd5da9f78f1f8820ed4f5ae5d0704649c32d6&o=,榆林长城路夫子庙亚朵X酒店位于榆林。这家住宿提供的设施包括24小时前台、礼宾服务以及免费WiFi。客人可以欣赏市景。 所有房间均配备空调、带有线频道的平板电视、电热水壶、淋浴设施、免费洗浴用品和书桌。这家酒店的每间客房都拥有床上用品和毛巾。 最近的机场是榆林榆阳机场，距离榆林长城路夫子庙亚朵X酒店有20公里。
7天酒店·榆林南门口汽车站河滨公园店,榆林,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/253436826.jpg?k=6215badd4dfacbf6f0773fc4de1cd47eb423d54389aede83b5f577b79fb97360&o=,7天酒店·榆林南门口汽车站河滨公园店位于榆林，提供免费WiFi以及带空调的客房。 这家酒店的前台工作人员可随时为客人提供建议。 最近的机场是榆林榆阳机场，距离7天酒店·榆林南门口汽车站河滨公园店有21公里。
凯里亚德酒店(汉中高铁站店),汉中,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/468583260.jpg?k=3ea1deee3cdec6de34d072d6d148d63266366d2e06126197b4c7a99bf67efce7&o=,凯里亚德酒店(汉中高铁站店)提供位于汉中的住宿。住宿为客人配备24小时前台和礼宾服务。 这家酒店为客人提供空调客房，配有书桌、电热水壶、保险箱、平板电视以及带淋浴设施的私人浴室。凯里亚德酒店(汉中高铁站店)的所有客房都拥有床上用品和毛巾。 最近的机场是汉中城固机场，距离这家住宿有18公里。
宝鸡三迪华美达酒店,宝鸡,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/327913802.jpg?k=0137cfc8744a347d018451789a116bd882376c36e4cd58ab62af42146f9703b5&o=,宝鸡三迪华美达酒店位于宝鸡，距离宝鸡火车站有2.8公里，提供健身中心、免费私人停车位、花园和露台。客人可以在餐厅用膳，或在酒吧享用饮品。住宿提供免费WiFi。 这家酒店的所有客房都配备空调和私人浴室。 宝鸡三迪华美达酒店的前台可提供信息，以帮助客人游览该地区。 最近的机场是汉中城固机场，距离这家住宿有196公里。
迦家HOME++西安永兴坊店,"新城区, 西安",8.1,106条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/230708380.jpg?k=ef39a60de59ff8ac3cb090f6417295f3c4f362b188654f44e0e15e271ea2ed87&o=,暂无介绍
西安君乐城堡酒店,"碑林区, 西安",8.0,132条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/14960475.jpg?k=97c7ca17ede3ccdaf9fbdd18d17a280cb3a9e020825d2a772abf4b8cc6fa5ede&o=,西安君乐城堡大酒店地理位置优越，位于历史悠久的西安市中心，距离古城墙南门永宁门约有5分钟的步行路程。提供Spa中心、盛大的宴会厅、2间独具风格的美食餐厅以及免费WiFi。 西安君乐城堡大酒店距离钟楼、鼓楼和碑林博物馆约有15分钟的步行路程，距离永宁门地铁站（2号线）约有2分钟的步行路程，方便客人前往西安的主要景点。距离西安火车站约有23分钟的车程，距离咸阳国际机场约有50分钟的车程。...
锦江之星榆林高新区东环路酒店,榆林,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/78781852.jpg?k=f7433bdcf14b8c74c65afc6976ba94bc8d0ca5bf6768fe334379d5612e76311d&o=,锦江之星榆林高新区东环路酒店位于榆林。客人可在内部餐厅用餐。 酒店的每间客房均设有空调、平板电视、水壶和带淋浴的私人浴室，提供拖鞋和免费洗浴用品等舒适用品。 酒店设有24小时前台。
宜必思酒店(西安钟鼓楼回民街店- 广济街地铁站260米 ）,"碑林区, 西安",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/507523415.jpg?k=0472005f44a268e050921fff30afaed153187f954c9ad312a0f508c18aa7e33c&o=,暂无介绍
西安古城西智选假日酒店,"莲湖区, 西安",8.4,59条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/231013058.jpg?k=ffba6338639d4ba1794f9b127fe95f86ed3c4481912cd0b0a19b317cc520eaa5&o=,西安古城西智选假日酒店位于西安，距离西安城墙有4.5公里，提供花园、免费私人停车位、共用休息室和露台。这家住宿提供的设施包括餐厅、客房服务、24小时前台以及免费WiFi。这家住宿的部分客房提供市景庭院。 这家住宿每天提供欧陆式、美式或亚洲风味早餐。 这家酒店提供儿童游乐区。 西安古城西智选假日酒店距离鼓楼有5公里，距离钟楼有5.3公里。最近的机场是西安咸阳国际机场，距离这家住宿有39公里。
西安锦江国际酒店,"未央区, 西安",5.5,2条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/63989296.jpg?k=f907c3eaa2f6c5071151d9528a71a2611a427af5a5fa41cdc2a90dc9d0c3fd40&o=,西安锦江国际酒店坐落在美丽的景观美化园地上，提供享有灞河或周围绿地景致的宽敞住宿，设有室内游泳池和健身中心。 西安锦江国际酒店的宽敞客房拥有典雅的装饰，设有卫星电视、客厅角和裕袍。部分客房享有灞河全景。 西安锦江国际酒店设有餐厅和酒吧，供应各种不同的菜单。酒店提供客房服务，亦可提供每日新鲜制作的外带午餐。 西安锦江国际酒店提供设备齐全的商务中心和24小时前台，提供免费私人停车场。
西安临潼悦柳酒店,临潼,8.0,1条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/445122358.jpg?k=831f4eea81c8330bfd6120435f683ff710063cf95e1b975eea6f5a7ee2cb31fa&o=,暂无介绍
西安赛瑞喜来登大酒店,"莲湖区, 西安",7.7,29条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/467546523.jpg?k=b71b96d2afb341d4147877036a64ed6484934dfc606498277be44eaa359fdff2&o=,暂无介绍
西安绿地假日酒店,"雁塔区, 西安",8.5,10条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/246666217.jpg?k=572fa7f66870205bf1340a9af81fac616e09c76a9a3a75c264f05a3e5dd3be0f&o=,西安绿地假日酒店位于锦业路，距离西安绿地中心和益田购物中心有3分钟的步行路程。距离绿地中心城市候机楼有200米，配有室内游泳池、健身中心和Spa中心，可应要求提供主题家庭间。 西安绿地假日酒店距离西安市中心有20分钟车程，距离秦始皇兵马俑有40分钟车程，距离钟鼓楼13公里，酒店距离大雁塔有9公里，距离西安咸阳国际机场有45公里，距离西安地铁6号线的丈八一路站仅20米。...
西安曲江希尔顿嘉悦里酒店,"雁塔区, 西安",9.1,18条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/483793209.jpg?k=1496700b6760c16886a6ed7b2625a8b0118c9acc04b5bea72ea760ace01ef190&o=,暂无介绍
高新高铁南站行政大道亚朵酒店,宝鸡,9.0,1条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/333611016.jpg?k=610c7a907ffd4b75bd0251da8426d945cf5eb1e1353e838646b39a54c3a3969b&o=,暂无介绍
西安蓝海风万怡酒店,"未央区, 西安",8.4,10条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500319247.jpg?k=bc91138051c031ec131dfdbf50190842f35bdc64df6216983ce09d3e3c04fff3&o=,暂无介绍
西安皇冠假日酒店(近小寨，小雁塔，地铁2号线体育场),"碑林区, 西安",8.5,13条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/266816081.jpg?k=0550f4712c220b808f9b0517758eb9cd1a2cc323d84279471e6b1c087ee3ada4&o=,西安皇冠假日酒店位于陕西省最高建筑 - 陕西新溪大厦25楼以上。这家酒店拥有室内游泳池、健身中心和免费停车场。空调客房俯瞰城市天际线，提供免费WiFi并享受24小时客房服务。...
GreenTree Inn Ankang Bashan Middle Road,安康,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/254434440.jpg?k=c186bf21f2d25e3b900a0c33a5b604c2a3afcef5c1e7ba679452c6fa2ad02cbe&o=,暂无介绍
西安W酒店,"雁塔区, 西安",8.5,35条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500319245.jpg?k=a20f370f6401d5ed0d66e38987053a8a98c1b7365b4d01748088696adb79db66&o=,暂无介绍
西安凯悦酒店,"雁塔区, 西安",8.2,12条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/155203763.jpg?k=74613f5a1c8586da090e36f440de812088ed39315e0f974ad9ed72bbaac04712&o=,暂无介绍
西安金茂酒店(钟鼓楼回民街店),"碑林区, 西安",8.5,30条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/252517302.jpg?k=6484fe058cc0f27e9d092c1b8cd6f87eccfb78ba71a13e9307b682354b987f66&o=,暂无介绍
西安高新 JW 万豪酒店,"雁塔区, 西安",5.0,1条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/508901656.jpg?k=89e37fe49f4f77ae6436a3401e5da7df248ce69f3a354443f3bac454861dfdd8&o=,西安高新JW万豪酒店位于西安，拥有健身中心、花园、餐厅和酒吧。这家酒店地理位置超棒，坐落于雁塔区，距离鼓楼有8.1公里，距离钟楼有8.4公里。这家酒店配备室内泳池、客房服务以及免费WiFi。 这家酒店的所有客房都拥有书桌、平板电视、私人浴室、床上用品和毛巾。客房提供保险箱。部分客房享有市景。房间为客人提供冰箱。 西安高新JW万豪酒店的前台可提供信息，以帮助客人游览该地区。...
西安万豪行政公寓,"雁塔区, 西安",9.6,7条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500388123.jpg?k=4a20c024a98ce8ef1d16b812b90b7fa51a8700b6ba31b9bc86d4ed8219152bd0&o=,西安万豪行政公寓位于高新技术开发区的中心，距离延平门站（3号线）仅有8分钟步行路程，提供覆盖了各处的免费WiFi。 西安万豪行政公寓距离西安城墙、钟鼓楼和穆斯林街约有15分钟车程。距离大雁塔有20分钟车程，距离咸阳国际机场和西安火车北站有40分钟车程。 所有公寓均配有空调和带平板电视的起居区。厨房配有洗碗机、烤箱、微波炉和咖啡机。每间公寓都设有一间带浴袍、毛巾和拖鞋的私人浴室。...
西安豪享来温德姆至尊公寓,"雁塔区, 西安",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/81224235.jpg?k=c4d46138f4984f913efececce05b430ec33aae61c231ab519c547b8fee5a1294&o=,西安豪享来温德姆至尊公寓位于西安的雁塔区，提供空调客房，距离大雁塔有3.1公里。这家住宿提供的设施包括客房服务、24小时前台以及免费WiFi。这家住宿禁烟，距离钟楼有8.5公里。 所有客房都提供私人浴室和浴缸或淋浴设施。这家酒店的部分房间配有保险箱。 西安豪享来温德姆至尊公寓距离鼓楼有9.1公里，距离西安城墙有10公里。最近的机场是西安咸阳国际机场，距离这家住宿有50公里。
西安豪华美居人民大厦,"新城区, 西安",8.4,70条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/252001100.jpg?k=99d71f9ed3ff3e62befeadbebb2acd603fbf9148c41b2ff35b48355f9d057149&o=,西安豪华美居人民大厦是一家豪华酒店，距离钟楼和鼓楼有10分钟的步行路程，提供按摩服务、餐厅和停车场。室外游泳池与西安索菲特酒店共用。  空调客房拥有现代内饰和典雅的装饰。每间客房均配有迷你吧、办公桌和有线电视。客房提供带浴缸的独立浴室。 客人可以享受放松按摩或在健身中心锻炼身体。旅游咨询台可以协助客人安排旅行事宜。 ...
西安盛美利亚酒店,"雁塔区, 西安",9.1,42条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/201003341.jpg?k=085b39b833517fc7f80e9a4a3a31af0957428ebafe1f56db2657de51bef38e0a&o=,暂无介绍
西安盛捷新地城服务公寓,"雁塔区, 西安",8.8,98条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/87927493.jpg?k=a7c6f88031ddc801f651cdf299dc90e463aac39e0b21ec7b19518703e45cc3f1&o=,暂无介绍
Sifang Space Hostel Xi'an - Xi'an TIYUCHANG metro station Line2,"碑林区, 西安",9.6,20条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/477196998.jpg?k=63db5dddbc921353e891def9d1bbbbffc3798f882a04fff353d2c0198464b965&o=,暂无介绍
西安经开洲际酒店,"未央区, 西安",8.4,16条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/262038563.jpg?k=dab3acbb73be9280049b25e80a45b551b43a114e74be4cf85aa2a5e53a688b62&o=,西安经开洲际酒店位于西安，配有健身中心、露台、餐厅和酒吧。住宿为客人提供室内泳池和汽车租赁服务。住宿为客人提供客房服务、24小时前台和外币兑换服务。 住宿每天供应早餐，提供欧陆式、美式和亚洲风味三种选择。 这家酒店距离大明宫有7.7公里，距离西安城墙有8.8公里。最近的机场是西安咸阳国际机场，距离西安经开洲际酒店有29公里。
西安曲江中心智选假日酒店,"雁塔区, 西安",9.4,5条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/402280792.jpg?k=537d9838e7af34070f68690acecab7673d837b43f8e8e88104d516339733f1ba&o=,暂无介绍
西安富力希尔顿酒店,"新城区, 西安",8.6,67条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/483793095.jpg?k=d659c376b704726dffa7035d147ef7f0ee5e9bd4d196d1526e05218a6fd0a749&o=,暂无介绍
西安浐灞艾美酒店,"未央区, 西安",7.8,10条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500546559.jpg?k=c0031e315ade17d88a87e0eb1f6fe3e4b558f96c74d19174a9bc9ecb360f320f&o=,暂无介绍
锦江之星西安建国门酒店,"碑林区, 西安",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/77688481.jpg?k=89eb34b11dfab86c7918fa751f29b1a06ffb06f706c881badf9743ea471f2a95&o=,锦江之星西安建国门酒店位于西安碑林区，距离回民街2公里，距离西安城墙2.5公里，设有内部餐厅。 所有客房均配有平板电视、水壶、带淋浴的私人浴室、拖鞋、免费洗浴用品和吹风机。 酒店设有24小时前台。 锦江之星西安建国门酒店距离鼓楼2.9公里，距离钟楼3公里，距离最近的西安咸阳国际机场30公里。
西安索菲特传奇酒店,"新城区, 西安",9.5,33条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/485542852.jpg?k=003e671d05a43c95a4a8a9885fc7175df81c3868b9068a2f3361d82e3b1956c1&o=,暂无介绍
派酒店·西安钟楼回民街地铁站店,"莲湖区, 西安",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/117784254.jpg?k=18a159944341a890222f92f8eb6449451065749e3532e2311b4d6802e38a12a7&o=,派酒店·西安钟楼回民街地铁站店位于西安市，距离钟楼有5分钟步行路程，提供带免费WiFi的空调客房。所有客房均提供平板有线电视和私人浴室。酒店距离回民街和鼓楼均有5分钟步行路程，仅接待中宾入住。 酒店的所有客房和套房均配有水壶和书桌。 24小时前台可以为客人提供游览周边地区的有用贴士。 派酒店·西安钟楼回民街地铁站店距离西安城墙1.9公里，距离最近的机场——西安咸阳国际机场27公里。
西安奥罗国际大酒店,"新城区, 西安",8.6,27条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/293231735.jpg?k=ff93444466136d88a28e84042243480a3f645255c2322745b714a78aacb84eaf&o=,暂无介绍
【路客】西安市莲湖区·北大街假日国际公寓·路客精品民宿·00181110,"莲湖区, 西安",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/216032487.jpg?k=24177843ca2f66f3a80c76b7b317ea13543710e8d1dfdc3ac01dbbb9df0cc6af&o=,暂无介绍
